n_agents,n_families,panel,n,base_rate,auc_pr,lift,mean_disagreement
2,2,G120+Q27,787,0.097,0.128,1.33,0.186
2,2,L70+G120,787,0.137,0.168,1.22,0.224
2,2,L70+Q27,790,0.124,0.143,1.15,0.187
2,2,G20+Q27,787,0.112,0.127,1.14,0.264
2,2,L70+G20,787,0.173,0.196,1.13,0.269
2,1,G20+G120,785,0.158,0.168,1.06,0.224
2,2,L8+G20,786,0.239,0.234,0.98,0.411
2,1,L8+L70,789,0.221,0.214,0.97,0.385
2,2,L8+Q27,789,0.128,0.124,0.97,0.441
2,2,L8+G120,786,0.17,0.163,0.96,0.416
3,3,L70+G120+Q27,789,0.186,0.533,2.86,0.2
3,2,G20+G120+Q27,789,0.193,0.496,2.57,0.227
3,3,L70+G20+Q27,789,0.214,0.539,2.52,0.242
3,2,L70+G20+G120,789,0.233,0.53,2.27,0.242
3,3,L8+G120+Q27,789,0.21,0.474,2.25,0.349
3,3,L8+G20+Q27,789,0.271,0.567,2.09,0.374
3,2,L8+L70+Q27,790,0.254,0.518,2.04,0.338
3,2,L8+L70+G120,789,0.27,0.516,1.91,0.343
3,2,L8+G20+G120,789,0.286,0.539,1.88,0.353
3,2,L8+L70+G20,789,0.313,0.543,1.73,0.357
4,3,L70+G20+G120+Q27,789,0.152,0.362,2.38,0.228
4,3,L8+L70+G120+Q27,789,0.172,0.382,2.22,0.308
4,3,L8+L70+G20+Q27,789,0.195,0.384,1.97,0.328
4,3,L8+G20+G120+Q27,789,0.174,0.339,1.95,0.326
4,2,L8+L70+G20+G120,789,0.217,0.404,1.86,0.324
5,3,L8+L70+G20+G120+Q27,789,0.237,0.648,2.74,0.303
