n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
2,2,gpt-5.6-sol+qwen3.6-35b-a3b,782,0.18,0.458,2.54,0.762,0.166
2,2,gpt-5.6-sol+qwen3.6-plus,790,0.178,0.435,2.44,0.702,0.1
2,2,gpt-oss-120b+qwen3.6-plus,782,0.178,0.429,2.41,0.768,0.199
2,2,gpt-oss-120b+qwen3.6-27b,782,0.178,0.416,2.34,0.761,0.203
2,2,gpt-5.6-sol+qwen3.6-27b,790,0.178,0.415,2.33,0.713,0.125
2,1,gpt-oss-120b+gpt-5.6-sol,782,0.178,0.411,2.31,0.762,0.21
2,1,qwen3.6-27b+qwen3.6-plus,790,0.178,0.394,2.21,0.689,0.108
2,2,llama-3.3-70b-instruct+qwen3.6-plus,775,0.178,0.391,2.2,0.745,0.205
2,2,gpt-oss-120b+qwen3.6-35b-a3b,774,0.18,0.392,2.18,0.751,0.221
2,1,qwen3.6-35b-a3b+qwen3.6-plus,782,0.18,0.385,2.14,0.7,0.133
2,2,llama-3.3-70b-instruct+gpt-5.6-sol,775,0.178,0.379,2.13,0.739,0.209
2,1,qwen3.6-27b+qwen3.6-35b-a3b,782,0.18,0.379,2.1,0.702,0.143
2,2,gpt-oss-20b+qwen3.6-plus,788,0.179,0.367,2.05,0.755,0.277
2,2,llama-3.3-70b-instruct+qwen3.6-35b-a3b,767,0.18,0.357,1.98,0.722,0.215
2,2,llama-3.3-70b-instruct+qwen3.6-27b,775,0.178,0.338,1.9,0.699,0.187
2,2,gpt-oss-20b+qwen3.6-35b-a3b,781,0.181,0.337,1.86,0.723,0.266
2,1,gpt-oss-20b+gpt-5.6-sol,788,0.179,0.331,1.85,0.719,0.264
2,2,gpt-oss-20b+qwen3.6-27b,788,0.179,0.329,1.84,0.718,0.266
2,2,llama-4-maverick+gpt-5.6-sol,790,0.178,0.321,1.8,0.709,0.259
2,2,llama-4-maverick+qwen3.6-plus,790,0.178,0.314,1.76,0.702,0.257
2,2,llama-3.3-70b-instruct+gpt-oss-120b,767,0.177,0.291,1.64,0.671,0.219
2,2,llama-4-maverick+qwen3.6-27b,790,0.178,0.287,1.61,0.673,0.248
2,2,llama-4-maverick+qwen3.6-35b-a3b,782,0.18,0.289,1.6,0.675,0.26
2,2,llama-4-maverick+gpt-oss-120b,782,0.178,0.267,1.5,0.659,0.279
2,2,llama-4-maverick+gpt-oss-20b,788,0.179,0.265,1.48,0.659,0.313
2,1,gpt-oss-20b+gpt-oss-120b,780,0.178,0.251,1.41,0.628,0.222
2,2,llama-3.1-8b-instruct+gpt-5.6-sol,781,0.181,0.249,1.38,0.652,0.467
2,1,llama-3.3-70b-instruct+llama-4-maverick,775,0.178,0.243,1.37,0.623,0.248
2,2,llama-3.1-8b-instruct+qwen3.6-plus,781,0.181,0.24,1.33,0.636,0.465
2,2,llama-3.3-70b-instruct+gpt-oss-20b,773,0.179,0.232,1.3,0.609,0.263
2,2,llama-3.1-8b-instruct+gpt-oss-120b,773,0.18,0.229,1.28,0.616,0.428
