n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
2,2,llama-4-maverick+qwen3.6-plus,783,0.377,0.465,1.23,0.635,0.425
2,2,llama-4-maverick+qwen3.6-35b-a3b,781,0.378,0.444,1.18,0.607,0.41
2,2,llama-3.3-70b-instruct+qwen3.6-plus,783,0.377,0.442,1.17,0.606,0.42
2,2,llama-4-maverick+qwen3.6-27b,782,0.377,0.442,1.17,0.605,0.418
2,2,gpt-5.6-sol+qwen3.6-plus,778,0.379,0.441,1.16,0.598,0.366
2,2,llama-3.3-70b-instruct+qwen3.6-35b-a3b,780,0.378,0.435,1.15,0.593,0.403
2,2,llama-4-maverick+gpt-5.6-sol,779,0.38,0.436,1.15,0.59,0.344
2,2,gpt-5.6-sol+qwen3.6-27b,777,0.38,0.438,1.15,0.596,0.409
2,2,llama-3.3-70b-instruct+gpt-5.6-sol,779,0.38,0.429,1.13,0.58,0.334
2,2,gpt-oss-120b+qwen3.6-27b,774,0.381,0.429,1.13,0.583,0.456
2,2,gpt-oss-120b+qwen3.6-plus,774,0.381,0.432,1.13,0.587,0.465
2,1,qwen3.6-27b+qwen3.6-plus,787,0.375,0.422,1.13,0.576,0.291
2,1,gpt-oss-120b+gpt-5.6-sol,767,0.386,0.431,1.12,0.577,0.392
2,2,gpt-oss-120b+qwen3.6-35b-a3b,773,0.382,0.428,1.12,0.58,0.437
2,1,qwen3.6-27b+qwen3.6-35b-a3b,785,0.376,0.42,1.12,0.573,0.318
2,1,qwen3.6-35b-a3b+qwen3.6-plus,785,0.376,0.42,1.12,0.574,0.338
2,2,llama-3.3-70b-instruct+qwen3.6-27b,782,0.377,0.418,1.11,0.571,0.403
2,1,gpt-oss-20b+gpt-5.6-sol,770,0.381,0.422,1.11,0.573,0.439
2,2,gpt-oss-20b+qwen3.6-plus,776,0.378,0.421,1.11,0.577,0.491
2,2,gpt-5.6-sol+qwen3.6-35b-a3b,776,0.38,0.422,1.11,0.573,0.415
2,2,llama-3.1-8b-instruct+gpt-5.6-sol,768,0.378,0.411,1.09,0.56,0.374
2,2,llama-3.1-8b-instruct+qwen3.6-plus,772,0.374,0.409,1.09,0.563,0.482
2,2,gpt-oss-20b+qwen3.6-35b-a3b,773,0.379,0.415,1.09,0.565,0.479
2,2,llama-3.1-8b-instruct+qwen3.6-35b-a3b,769,0.376,0.407,1.08,0.557,0.43
2,2,gpt-oss-20b+qwen3.6-27b,775,0.378,0.409,1.08,0.558,0.481
2,2,llama-3.1-8b-instruct+qwen3.6-27b,771,0.375,0.399,1.06,0.545,0.47
2,2,llama-3.3-70b-instruct+gpt-oss-120b,772,0.383,0.402,1.05,0.535,0.338
2,1,llama-3.3-70b-instruct+llama-4-maverick,783,0.378,0.388,1.03,0.519,0.234
2,2,llama-4-maverick+gpt-oss-120b,771,0.384,0.396,1.03,0.523,0.35
2,1,gpt-oss-20b+gpt-oss-120b,767,0.382,0.394,1.03,0.523,0.334
2,2,llama-3.1-8b-instruct+gpt-oss-120b,761,0.381,0.388,1.02,0.514,0.338
2,1,llama-3.1-8b-instruct+llama-4-maverick,771,0.376,0.38,1.01,0.507,0.263
2,1,llama-3.1-8b-instruct+llama-3.3-70b-instruct,772,0.376,0.376,1.0,0.5,0.22
2,2,llama-3.3-70b-instruct+gpt-oss-20b,774,0.379,0.379,1.0,0.501,0.36
2,2,llama-4-maverick+gpt-oss-20b,773,0.379,0.375,0.99,0.491,0.373
