n_agents,n_families,panel,n,base_rate,auc_pr,lift,mean_disagreement
2,2,G120+Q27,789,0.237,0.548,2.31,0.188
2,2,L70+Q27,789,0.237,0.502,2.12,0.188
2,2,L70+G120,789,0.237,0.489,2.06,0.226
2,2,G20+Q27,789,0.237,0.466,1.97,0.266
2,1,G20+G120,789,0.237,0.372,1.57,0.228
2,2,L70+G20,789,0.237,0.368,1.55,0.271
2,2,L8+Q27,789,0.237,0.323,1.36,0.442
2,2,L8+G120,789,0.237,0.285,1.2,0.418
2,1,L8+L70,789,0.237,0.269,1.13,0.387
2,2,L8+G20,789,0.237,0.254,1.07,0.413
3,3,L70+G120+Q27,789,0.237,0.638,2.69,0.2
3,3,L70+G20+Q27,789,0.237,0.562,2.37,0.242
3,2,G20+G120+Q27,789,0.237,0.559,2.36,0.227
3,2,L70+G20+G120,789,0.237,0.508,2.14,0.242
3,3,L8+G120+Q27,789,0.237,0.479,2.02,0.349
3,2,L8+L70+Q27,789,0.237,0.43,1.81,0.339
3,2,L8+L70+G120,789,0.237,0.424,1.79,0.343
3,3,L8+G20+Q27,789,0.237,0.417,1.76,0.374
3,2,L8+G20+G120,789,0.237,0.352,1.49,0.353
3,2,L8+L70+G20,789,0.237,0.323,1.36,0.357
4,3,L70+G20+G120+Q27,789,0.237,0.696,2.94,0.228
4,3,L8+L70+G120+Q27,789,0.237,0.611,2.58,0.308
4,3,L8+G20+G120+Q27,789,0.237,0.541,2.28,0.326
4,3,L8+L70+G20+Q27,789,0.237,0.509,2.15,0.328
4,2,L8+L70+G20+G120,789,0.237,0.462,1.95,0.324
5,3,L8+L70+G20+G120+Q27,789,0.237,0.648,2.74,0.303
