n_agents,n_families,panel,n,base_rate,auc_pr,lift,mean_disagreement
2,2,G120+Q27,744,0.577,0.675,1.17,0.305
2,2,G20+Q27,744,0.577,0.67,1.16,0.379
2,2,L70+Q27,744,0.577,0.661,1.15,0.292
2,2,L8+Q27,744,0.577,0.623,1.08,0.345
2,2,L70+G120,744,0.577,0.608,1.05,0.22
2,2,L70+G20,744,0.577,0.598,1.04,0.265
2,1,G20+G120,744,0.577,0.598,1.04,0.21
2,1,L8+L70,744,0.577,0.594,1.03,0.192
2,2,L8+G20,744,0.577,0.594,1.03,0.278
2,2,L8+G120,744,0.577,0.595,1.03,0.274
3,3,L70+G120+Q27,744,0.577,0.684,1.19,0.276
3,2,G20+G120+Q27,744,0.577,0.68,1.18,0.3
3,3,L70+G20+Q27,744,0.577,0.674,1.17,0.319
3,3,L8+G20+Q27,744,0.577,0.66,1.14,0.339
3,3,L8+G120+Q27,744,0.577,0.658,1.14,0.322
3,2,L8+L70+Q27,744,0.577,0.651,1.13,0.28
3,2,L70+G20+G120,744,0.577,0.622,1.08,0.24
3,2,L8+L70+G120,744,0.577,0.616,1.07,0.249
3,2,L8+L70+G20,744,0.577,0.612,1.06,0.261
3,2,L8+G20+G120,744,0.577,0.614,1.06,0.27
4,3,L70+G20+G120+Q27,744,0.577,0.693,1.2,0.283
4,3,L8+L70+G20+Q27,744,0.577,0.672,1.17,0.299
4,3,L8+L70+G120+Q27,744,0.577,0.676,1.17,0.283
4,3,L8+G20+G120+Q27,744,0.577,0.67,1.16,0.309
4,2,L8+L70+G20+G120,744,0.577,0.637,1.1,0.26
5,3,L8+L70+G20+G120+Q27,744,0.577,0.686,1.19,0.286
